dia,mes,ano,municipio,uf_x,areakm,uf_y,vazao,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms,chuva_final
9,7,1991,rio branco,,20.343714764224202,AC,86.9,,,,,,,,,,,,,,,,,
10,7,1991,rio branco,,20.343714764224202,AC,85.69,,,,,,,,,,,,,,,,,
11,7,1991,rio branco,,20.343714764224202,AC,84.49,,,,,,,,,,,,,,,,,
12,7,1991,rio branco,,20.343714764224202,AC,84.49,,,,,,,,,,,,,,,,,
13,7,1991,rio branco,,20.343714764224202,AC,84.49,,,,,,,,,,,,,,,,,
14,7,1991,rio branco,,20.343714764224202,AC,83.88,,,,,,,,,,,,,,,,,
15,7,1991,rio branco,,20.343714764224202,AC,83.29,,,,,,,,,,,,,,,,,
16,7,1991,rio branco,,20.343714764224202,AC,84.49,,,,,,,,,,,,,,,,,
17,7,1991,rio branco,,20.343714764224202,AC,84.49,,,,,,,,,,,,,,,,,
18,7,1991,rio branco,,20.343714764224202,AC,83.88,,,,,,,,,,,,,,,,,
19,7,1991,rio branco,,20.343714764224202,AC,83.88,,,,,,,,,,,,,,,,,
20,7,1991,rio branco,,20.343714764224202,AC,101.94,,,,,,,,,,,,,,,,,
21,7,1991,rio branco,,20.343714764224202,AC,109.8,,,,,,,,,,,,,,,,,
22,7,1991,rio branco,,20.343714764224202,AC,91.81,,,,,,,,,,,,,,,,,
23,7,1991,rio branco,,20.343714764224202,AC,83.29,,,,,,,,,,,,,,,,,
24,7,1991,rio branco,,20.343714764224202,AC,79.14,,,,,,,,,,,,,,,,,
25,7,1991,rio branco,,20.343714764224202,AC,76.81,,,,,,,,,,,,,,,,,
26,7,1991,rio branco,,20.343714764224202,AC,74.5,,,,,,,,,,,,,,,,,
27,7,1991,rio branco,,20.343714764224202,AC,73.36,,,,,,,,,,,,,,,,,
28,7,1991,rio branco,,20.343714764224202,AC,72.23,,,,,,,,,,,,,,,,,
29,7,1991,rio branco,,20.343714764224202,AC,71.66,,,,,,,,,,,,,,,,,
30,7,1991,rio branco,,20.343714764224202,AC,72.23,,,,,,,,,,,,,,,,,
31,7,1991,rio branco,,20.343714764224202,AC,78.56,,,,,,,,,,,,,,,,,
1,8,1991,rio branco,,20.343714764224202,AC,75.08,,,,,,,,,,,,,,,,,
2,8,1991,rio branco,,20.343714764224202,AC,71.1,,,,,,,,,,,,,,,,,
3,8,1991,rio branco,,20.343714764224202,AC,69.42,,,,,,,,,,,,,,,,,
4,8,1991,rio branco,,20.343714764224202,AC,71.1,,,,,,,,,,,,,,,,,
