ano,mes,estacao,chuva,codigo_estacao,municipio,uf,areakm,estado,precipitacao_total_mm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
1991,12,8052000,4.34516129032258,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1991,12,8150000,1.932258064516129,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1991,12,8251001,1.038709677419355,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,1,51002,1.009090909090909,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,1,771001,3.7419354838709675,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,1,872000,3.3,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,1,972000,4.754838709677419,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,1,1068000,4.780645161290322,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,1,8050000,3.561290322580645,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,1,8051010,3.2548387096774194,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,1,8051012,,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,1,8052000,3.5870967741935487,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,1,8150000,3.9096774193548387,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,1,8251001,11.44,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,2,51002,10.579310344827586,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,2,771001,2.1724137931034484,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,2,872000,2.2140350877192985,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,2,972000,6.820689655172414,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,2,1068000,5.748275862068965,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,2,8050000,11.50357142857143,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,2,8051010,12.351724137931035,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,2,8051012,,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,2,8052000,9.979310344827585,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,2,8150000,18.06206896551724,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,2,8251001,6.714285714285714,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,3,51002,5.877419354838709,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,3,771001,6.032258064516129,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,3,872000,3.2225806451612904,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,3,972000,7.096774193548387,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,3,1068000,6.835483870967742,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,3,8050000,6.435483870967742,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,3,8051010,14.790322580645162,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,3,8051012,12.865,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,3,8052000,10.1,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,3,8150000,15.454838709677418,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,3,8251001,7.870967741935484,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,4,51002,8.816666666666666,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,4,771001,1.8666666666666667,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,4,872000,2.3666666666666667,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,4,972000,5.253333333333333,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,4,1068000,2.8266666666666667,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,4,8050000,7.206666666666666,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,4,8051010,13.051724137931034,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,4,8051012,11.676666666666668,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,4,8052000,12.469999999999999,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,4,8150000,10.603333333333333,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,4,8251001,8.266666666666667,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,5,51002,7.233333333333333,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,5,771001,5.864516129032259,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,5,872000,1.432258064516129,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,5,972000,2.6193548387096772,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,5,1068000,0.8354838709677419,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,5,8050000,1.6451612903225807,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,5,8051010,2.4099999999999997,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,5,8051012,4.851612903225806,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,5,8052000,4.064516129032258,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,5,8150000,1.6258064516129032,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,5,8251001,,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,6,51002,5.793333333333334,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,6,771001,0.33999999999999997,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,6,872000,0.2966666666666667,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,6,972000,2.4,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,6,1068000,0.4766666666666667,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,6,8050000,0.9299999999999999,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,6,8051010,3.279310344827586,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,6,8051012,5.576666666666667,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,6,8052000,4.846666666666667,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,6,8150000,3.3433333333333333,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,6,8251001,6.2375,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,7,51002,5.745161290322581,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,7,771001,1.2516129032258063,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,7,872000,0.6967741935483871,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,7,972000,3.9612903225806453,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,7,1068000,2.2451612903225806,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,7,8050000,0.47096774193548385,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,7,8051010,4.425806451612903,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,7,8051012,7.787096774193548,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,7,8052000,3.106451612903226,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,7,8150000,3.4387096774193546,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,7,8251001,2.6258064516129034,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,8,51002,3.1,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,8,771001,1.7548387096774196,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,8,872000,0.6870967741935483,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,8,972000,1.5483870967741935,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,8,1068000,0.9741935483870967,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,8,8050000,1.464516129032258,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,8,8051010,1.435483870967742,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,8,8051012,4.639130434782609,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,8,8052000,4.209677419354839,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
